Filme,Lancamento,Diretor,Generos,Atores,Avaliacao,Paises,Votos,data_adicao,link_imagem,Duracao,Ano_Add
Batman & Robin,1997.0,Joel Schumacher,"Adventure,Science Fiction,Action","George Clooney,Uma Thurman,Chris O'Donnell,Arnold Schwarzenegger,Alicia Silverstone,Michael Gough,Pat Hingle,John Glover,Elle Macpherson,Vivica A. Fox,Vendela Kirsebom,Elizabeth Sanders,Jeep Swenson,John Fink,Michael Reid MacKay,Eric Lloyd,Jon Simmons,Christian Boeving,Stogie Kenyatta,Andy LaCombe,Joe Sabatino,Michael Paul Chan,Kimberly Scott,Jay Luchs,Roger Nehls,Anthony E. Cantrell,Alex Daniels,Peter Navy Tuiasosopo,Harry Van Gorkum,Sandra Taylor,Elizabeth Guber,Jack Betts,Marc Glimcher,Mark Leahy,Jim McMullan,Patrick Leahy,Jesse Ventura,Ralf Moeller,Doug Hutchison,Tobias Jelinek,Greg Lauren,Dean Cochran,Coolio,Nicky Katt,Lucas Berman,Uzi Gal,Howard Velasco,Bruce Roberts,John Ingle,Gene LeBell,Azikiwee Anderson,Michael Bernardo,Steve Blalock,Steve Boyles,David Cardoza,Christopher Caso,Mark Chadwick,Danny Costa,Simon Kim,Todd Matthew Grossman,Jim Hardy,Steven Ito,Dennis Keiffer,Stephan Desjardins,James Kim,Dennis Lefevre,Jean-Luc Martin,Cory M. Miller,Chris C. Mitchell,Christopher Nelson,Jim Palmer,Jeff Podgurski,Robert Powell,Chris Sayour,Don Sinnar,Paul Sklar,Takis Triggelis,Corey Haim,Greg Bronson,Spitfire Brown,Johnathan Brownlee,Ryan Allen Carrillo,Ellen Dunning,Eva Ford,Earnest Hart Jr.,Matthew Hurley,Valentina Marie Lomborg,Khristian Lupo,Julie Michaels,David Novak,Gloria Koehn Straube,Dick Shawn,Deron McBee",1.81,USA,191875,2011/06/22,https://a.ltrbxd.com/resized/sm/upload/xx/iy/mi/j7/cGRDufDDSrFrv7VI4YnmWnslne0-0-230-0-345-crop.jpg,125,1/21/2018
The Hobbit: The Battle of the Five Armies,2014.0,Peter Jackson,"Fantasy,Action,Adventure","Martin Freeman,Ian McKellen,Richard Armitage,Luke Evans,Orlando Bloom,Lee Pace,Evangeline Lilly,Ken Stott,James Nesbitt,Aidan Turner,Dean O'Gorman,Graham McTavish,Benedict Cumberbatch,Billy Connolly,Stephen Fry,Ryan Gage,Hugo Weaving,Cate Blanchett,Ian Holm,Christopher Lee,Mikael Persbrandt,Sylvester McCoy,Peter Hambleton,John Callen,Mark Hadlow,Jed Brophy,William Kircher,Stephen Hunter,Adam Brown,John Bell,Manu Bennett,John Tui,Peggy Nesbitt,Mary Nesbitt,Kelly Kilgour,Mark Mitchinson,Sarah Peirse,Nick Blake,Simon London,Conan Stevens,Allan Smith,Miranda Harcourt,Thomasin McKenzie,Erin Banks,Brian Hotter,Timothy Bartlett,Martin Kwok,Dee Bradley Baker,Olof Johnsson,Jon Olson,Otep Shamaya,Debra Wilson,Jack Binding,Terry Binding,Stephen Gledhill,Billy Jackson,Katie Jackson,Peter Jackson,Terry Notary,Vanessa Cater",3.12,"New Zealand,USA",371934,2012/07/31,https://a.ltrbxd.com/resized/film-poster/9/6/5/5/2/96552-the-hobbit-the-battle-of-the-five-armies-0-230-0-345-crop.jpg,144,1/21/2018
The Jungle Book,2016.0,Jon Favreau,"Family,Fantasy,Drama,Adventure","Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,Scarlett Johansson,Christopher Walken,Lupita Nyong'o,Giancarlo Esposito,Garry Shandling,Emjay Anthony,Brighton Rose,Jon Favreau,Sam Raimi,Russell Peters,Max Favreau,Chloe Hechter,Asher Blinkoff,Knox Gagnon,Sasha Schreiber,Kai Schreiber,Madeleine Favreau,Ritesh Rajan,Kendrick Reyes,Sara Arrington,Artie Esposito,Allan Trautman,Dee Bradley Baker,Sean W. Johnson,Daz Crawford",3.2,"UK,USA",239659,2014/06/28,https://a.ltrbxd.com/resized/sm/upload/re/d0/vo/uh/iMmpHJ9MeOwOF41BmUqytbHCWtz-0-230-0-345-crop.jpg,106,1/21/2018
Guardians,2017.0,Sarik Andreasyan,"Action,Thriller,Science Fiction,Comedy,Fantasy,Adventure","Anton Pampushnyy,Sanjar Madi,Sebastien Sisak,Alina Lanina,Valeriya Shkirando,Vyacheslav Razbegaev,Nikolay Shestak,Vladimir Butenko,Stanislav Shirin,Alexandr Semenov,Igor Maslov,Dmitriy Savyanenko,Evgeny Venediktov,Sergey Shatalov,Marusya Klimova,Anna Shkil,Stanislav Kolomoets,Viktor Pashkin,Aleksandr Komissarov,Konstantin Adaev",1.96,Russian Federation,6191,2015/08/17,https://a.ltrbxd.com/resized/film-poster/2/8/5/2/7/1/285271-guardians-0-230-0-345-crop.jpg,100,1/21/2018
Pirates of the Caribbean: Dead Men Tell No Tales,2017.0,Joachim Rønning,"Action,Fantasy,Adventure","Johnny Depp,Javier Bardem,Geoffrey Rush,Brenton Thwaites,Kaya Scodelario,Kevin McNally,Golshifteh Farahani,David Wenham,Stephen Graham,Angus Barnett,Martin Klebba,Adam Brown,Giles New,Orlando Bloom,Keira Knightley,Paul McCartney,Delroy Atkinson,Danny Kirrane,Juan Carlos Vellido,Rodney Afif,Rupert Raineri,Stephen Lopez,Nico Cortez,Mahesh Jadu,Bruce Spence,Justin Smith,John Leary,Anthony De La Torre,Finn Ireland,James Mackay,Bryan Probets,Will Ward,Lewis McGowan,Alexander Scheer,Richard Piper,Michael Dorman,Rohan Nichol,Paul Armstrong,Robert Morgan,Andreas Sobik,Goran D. Kleut,Scott G. Anderson,Travis Jeffery,Andrew Fraser,Akos Armont,Sean Lynch,Ben O'Toole,Dakota Askew,Jamie Carter,Joe Klocek,Derani Scarr,Zoe Ventoura,Lenny Firth,Akshay Caplash,Jordan Fulleylove,Mivon Prince-Leyva,Rafael Torrijos,James Fraser,Kenneth Radley,Hannah Walters,Jonathan Elsom,K. Todd Freeman,Matthew Walker,Darcy Laurie,James Lawson,Brooke Chamberlain,Jessica Green,Haley Madison,Kiara Freeman,Piper Nairn,Suzanne Dervish-Ali,Donnie Baxter,Winnie Mzembe,Christie-Lee Britten,Mollie McGregor,Sophia McGregor,Garreth Hadfield",2.58,USA,271338,2013/02/08,https://a.ltrbxd.com/resized/film-poster/1/2/3/0/6/6/123066-pirates-of-the-caribbean-dead-men-tell-no-tales-0-230-0-345-crop.jpg,128,1/21/2018
Les Misérables,2012.0,Tom Hooper,"Drama,History","Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried,Sacha Baron Cohen,Helena Bonham Carter,Eddie Redmayne,Aaron Tveit,Samantha Barks,Daniel Huttlestone,Cavin Cornwall,Josef Altin,David Hawley,Adam Jones,John Barr,Tony Rohr,Richard Dixon,Andy Beckwith,Stephen Bent,Colm Wilkinson,Georgie Glen,Heather Chasen,Paul Thornley,Paul Howell,Stephen Tate,Michael Jibson,Kate Fleetwood,Hannah Waddingham,Clare Foster,Kirsty Hoiles,Jenna Boyd,Alice Fearn,Alison Tennant,Marilyn Cutts,Cathy Breeze,John Albasiny,Bertie Carvel,Tim Downie,Andrew Havill,Dick Ward,Nicola Sloane,Daniel Evans,David Stoller,Ross McCormack,Jaygann Ayeh,Adrian Scarborough,Frances Ruffelle,Lynne Wilmot,Charlotte Spencer,Julia Worsley,Keith Dunphy,Ashley Artus,John Surman,David Cann,James Simmons,Polly Kemp,Ian Pirie,Adam Pearce,Julian Bleach,Marc Pickering,Isabelle Allen,Natalya Wallace,Phil Snowden,Hadrian Delacey,Lottie Steer,Sam Parks,Mark Donovan,Lewis Kirk,Leighton Rafferty,Peter Mair,Jack Chissick,Dianne Pilkington,Robyn North,Norma Atallah,Patrick Godfrey,Mark Roper,Paul Leonard,Miles Roughley,Cameron Strefford,Alfie Davis,Joseph West,Joel Phillimore,Jacqueline Dankworth,Amelia Jefford,Chris Barnes,Richard Cordery,Killian Donnelly,Fra Fee,Gabriel Vick,George Blagden,Hugh Skinner,Stuart Neal,Alistair Brammer,Iwan Lewis,Katy Secombe,Hadley Fraser,Linzi Hateley,Gemma Wardle,Gina Beck,Katie Hall,Lisa Hull,Andrea Deck,Jessica Duncan,Kerry Ingram,John Warnaby,Michael Sarne,Freya Parks,Richard Bremmer,Alexander Brooks,Eleanor Bruce,Emma Dukes,Stephen Matthews,Peter Saracen,Sebastian Sykes,Phil Zimmerman,Bessie Carter,Helen Cotterill,Tricia Deighton,Mandy Holliday,Charlotte Hope,Jackie Marks,Sara Pelosi,Mary Roscoe,Amelia Scaramucci,Caroline Sheen,Rachael Archer,Lorna Brown,Antonia Clarke,Mary Cormack,Sonya Cullingford,Holly Dale Spencer,Amy Griffiths,Fania Grigoriou,Amanda Henderson,Alexia Khadime,Luisa Lazzaro,Gemma O'Duffy,Amy Ellen Richardson,Olivia Rose-Aaron,Robyn Miranda Simpson,Rachel Stanley,Nancy Sullivan,Rebecca Sutherland,Tabitha Webb,Gerard Bentall,Tony Bignell,Michael Cahill,Richard Colson,Kerry Ellis,Simon Fisher-Becker,Sarah Flind,Kelly-Anne Gower,James Greene,Nick Holder,Chris Howell,Alison Jiear,Terence Keely,Martin Marquez,Sally Mates,Jeff Nicholson,Adam Searles,Simon Shorten,Juliet Alderice,Sean Buckley,Valerie Cutko,Spike Grimsey,Matt Harrop,Georgina Jackson,Perry Millward,Phil Philmar,Joyce Springer,Julie Stark,Dominic Applewhite,Matthew Corner,Andy Coxon,Jonathan Dudley,Rhidian Marc,Chris Milford,Jamie Muscato,Joseph Peters,David Roberts,Stevee Davies,Jonny Purchase,Matt Seadon Young,Jos Slovick,Samuel J. Weir,Sophie Huchinson,Ella Hunt,Claire Machin,Brenda Moore,Mischa Purnell,Annette Yeo,Josephine Darvill-Mills,Jennifer Essex,Vicky Evans,Edward Lewis French,Nigel Garton,Lynn Jezzard,Nicholas Keegan,Steve Kirkham,Vanessa Lee Hicks,Ian Parsons,Gemma Payne,Clinten Pearce,Claire Piquemal,Aaron Sillis,Ian Waller,Matthew Seadon-Young",3.55,"UK,USA",268055,2012/01/05,https://a.ltrbxd.com/resized/film-poster/6/9/1/4/9/69149-les-miserables-0-230-0-345-crop.jpg,158,2/7/2018
Metropolis,1927.0,Fritz Lang,"Drama,Science Fiction","Gustav Fröhlich,Brigitte Helm,Alfred Abel,Rudolf Klein-Rogge,Theodor Loos,Fritz Rasp,Erwin Biswanger,Heinrich George,Fritz Alberti,Grete Berger,Olly Boeheim,Heinrich Gotho,Gottfried Huppertz,Georg John,Margarete Lanner,Rose Lichtenstein,Hanns Leo Reich,Arthur Reinhardt,Curt Siodmak,Henrietta Siodmak,Olaf Storm,Rolf von Goth,Helen von Münchofen,Helene Weigel",4.26,Germany,135931,2011/06/15,https://a.ltrbxd.com/resized/sm/upload/2z/xx/r0/hy/qriaeUUwdmlgethK3aSAx68mG05-0-230-0-345-crop.jpg,149,7/22/2018
Over the Garden Wall,2014.0,Nate Cash,"Animation,Mystery,Family,Comedy","Elijah Wood,Collin Dean",4.61,USA,177037,2016/08/05,https://a.ltrbxd.com/resized/film-poster/3/4/3/9/1/1/343911-over-the-garden-wall-0-230-0-345-crop.jpg,109,7/22/2018
Under the Skin,2013.0,Jonathan Glazer,"Science Fiction,Thriller,Horror,Drama","Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell,Kevin McAlinden,D. Meade,Andrew Gorman,Joe Szula,Kryštof Hádek,Roy Armstrong,Alison Chand,Ben Mills,Oscar Mills,Lee Fanning,Paul Brannigan,Marius Bincu,Scott Dymond,Stephen Horn,Adam Pearson,May Mewes,Michael Moreland,Gerry Goodfellow,Dave Acton,Jessica Mance,Jerome Boyle,Antonia Campbell-Hughes",3.64,"Switzerland,UK,USA",228573,2012/03/23,https://a.ltrbxd.com/resized/film-poster/8/0/1/9/8/80198-under-the-skin-0-230-0-345-crop.jpg,108,8/21/2018
12 Years a Slave,2013.0,Steve McQueen,"Drama,History","Chiwetel Ejiofor,Michael Fassbender,Lupita Nyong'o,Benedict Cumberbatch,Paul Dano,Sarah Paulson,Adepero Oduye,Scoot McNairy,Paul Giamatti,Brad Pitt,Michael Kenneth Williams,Alfre Woodard,Chris Chalk,Taran Killam,Bill Camp,Kelsey Scott,Bryan Batt,Quvenzhané Wallis,Garret Dillahunt,Dwight Henry,Dickie Gravois,Ashley Dyke,Cameron Zeigler,Tony Bentley,Christopher Berry,Mister Mackey Jr.,Craig Tate,Storm Reid,Tom Proctor,Marc Macaulay,Vivian Fleming-Alvarez,Douglas M. Griffin,John McConnell,Marcus Lyle Brown,Richard Holden,Rob Steinberg,Anwan Glover,James C. Victor,Liza J. Bennett,Nicole Collins,J.D. Evermore,Andy Dylan,Deneen Tyler,Mustafa Harris,Gregory Bright,Austin Purnell,Thomas Francis Murphy,Andre De'Sean Shanks,Kelvin Harrison Jr.,Scott M. Jefferson,Isaiah Jackson,Topsy Chapman,Devin Maurice Evans,Jay Huguley,Devyn A. Tyler,Willo Jean-Baptiste,Jason Ament,Jon Arthur,Sean Paul Braud,Blake Burt,Carroll Burt,Edward J. Clare,JJ Coker,Haylie Creppel,Justin Edward Davis,Jim Johnson,Mark Joyce,John C. Klein,Gerard 'Jerry' Lewis,Kevonte Mcdonald,Ritchie Montgomery,Jason Owen,Shawn Parsons,Haley Powell,Wayne Pére,Terrell Ransom Jr.,Erin Rementer,Andre Robinson,Corrina Roshea Bobb,Jarett Shorts,Chaz Smith,Tyler Soerries,Tre Tureaud,Justin Christopher Vaughn,Bob Walker,Caroline Grace Williamson,Timothy Wyant",4.14,"USA,UK",397537,2011/10/13,https://a.ltrbxd.com/resized/film-poster/6/2/6/7/1/62671-12-years-a-slave-0-230-0-345-crop.jpg,134,8/21/2018
